RepRisk_ID,name,headquarter_country,code
111590,Holly Futures Co Ltd (previously  Jiangsu Holly Futures Brokerage Co Ltd),China,3678.HKG
111630,Chengdu Qianfeng Electronics Co Ltd,China,
11167,Zhejiang Huahai Pharmaceutical Co Ltd,China,600521.SH
11198,Huludao Zinc Industry Co Ltd,China,000751.SZ
111984,Liaoning Wellhope Agri-Tech Joint Stock Co Ltd,China,603609.SH
11215,Hunan Non-Ferrous Metal Corp Ltd,China,
11229,NARI Technology Co Ltd (formerly NARI Technology Development Co Ltd),China,600406.SH
112343,Sundy Land Investment Co Ltd (formerly Liaoning Baike Group Co Ltd; Guoneng Group),China,600077.SH
11235,Hangzhou Iron & Steel Group Co,China,
11245,BTG Hotels Group Co Ltd (formerly Beijing Capital Tourism Co Ltd),China,600258.SH
112461,Shanghai Yaoji Playing Card Co Ltd,China,
11256,Shandong Jinjing Science & Technology Stock Co Ltd,China,
112613,Legend Holdings Corp (formerly Legend Holdings Ltd),China,3396.HKG
112702,China Reinsurance Group Corporation,China,1508.HKG
11280,CHTC Helon Co Ltd (formerly known as Shandong Helon; also known as Hengtian Hailong),China,000677.SZ
112971,Huachangda Intelligent Equipment Group Co Ltd (formerly Hubei Huachangda Intelligent Equipment Co Ltd),China,300278.SZ
113067,Jiangsu Dewei Advanced Materials Co Ltd,China,300325.SZ
11314,Zhuzhou Smelter Group Co Ltd,China,600961.SH
113159,Lecron Internet Media Industry Co Ltd (formerly Lecron Energy Saving Materials),China,
11331,Nuode Investment Co Ltd (formerly China-Kinwa High Technology Co Ltd),China,600110.SH
11336,Luxi Chemical Group Co Ltd,China,000830.SZ
11360,Yunnan Wenshan Electric Power Co Ltd,China,600995.SH
113666,Zhejiang Jihua Group Co Ltd,China,603980.SH
11404,Wuhan Wushang Group Co Ltd (also known as Wuhan Department Store Group Co Ltd),China,
11408,Hunan Jinjian Cereals Industry Co Ltd,China,600127.SH
11409,Jiangsu Hongtu High Technology Co Ltd,China,600122.SH
11428,Telling Telecommunication Holding Co Ltd,China,000829.SZ
11430,Beiqi Foton Motor Co Ltd,China,600166.SH
11436,Xiandai Investment Co Ltd,China,000900.SZ
114483,KTK Group Co Ltd,China,603680.SH
114497,Wison Engineering Services Co Ltd,China,WNO.FRA
11456,Shanghai Jahwa United Co Ltd,China,600315.SH
11481,Shanxi Zhangze Electric Power Co Ltd,China,000767.SZ
11496,Yuan Longping High-Tech Agriculture Co Ltd,China,000998.SZ
11523,Shanxi Coking Group Co Ltd,China,000983.SZ
11526,Ajisen China Holdings Ltd,China,0538.HKG
115373,HNA Group Ltd,China,000616.SZ
1154,Laiwu Steel Corp (Laigang Group),China,
11544,Gansu Ronghua Industry Group Co Ltd,China,600311.SH
11547,Zhengzhou Coal Industry & Electric Power Co Ltd,China,600121.SH
1155,Gome Retail Holdings Ltd (formerly GOME Electrical Appliances Holdings Ltd),China,0493.HKG
1156,Suning.com Co Ltd (formerly Suning Commerce Group Co Ltd; Suning Appliance Co Ltd),China,002024.SZ
11572,AirNet Technology Inc (formerly AirMedia Group Inc),China,ANTE.NASDAQ
11578,Deluxe Family Co Ltd,China,600503.SH
11583,Zhongbai Holdings Group Co Ltd (formerly Wuhan Zhongbai Group Co Ltd),China,000759.SZ
11586,Xiamen Tungsten Co Ltd (formerly Xiamen Alumina Plant),China,600549.SH
11590,Shanghai Airlines Co,China,600115.SH
11604,Hainan Airlines Holding Co Ltd (formerly Hainan Airlines Co Ltd),China,600221.SH
11615,Zhangzidao Group Co Ltd (also known as Zoneco Group Co Ltd),China,002069.SZ
11628,China Yurun Food Group Ltd,China,1068.HKG
116386,ABA Chemicals Corp,China,300261.SZ
116426,China Machinery Engineering Corp (CMEC),China,1829.HKG
116427,China Mobile Games & Entertainment Group Ltd,China,
116541,Shanghai New Culture Media Group Co Ltd,China,300336.SZ
116546,Sinopec Engineering Group Co Ltd,China,2386.HKG
116563,Vipshop Holdings Ltd (Guangzhou Vipshop Information Technology Co Ltd; vip.com),China,VIPS.NYSE
116569,YY Inc,China,
11676,Gansu Jiu Steel Group Hongxing Iron & Steel Co Ltd,China,600307.SH
116937,Zhuzhou Kibing Group Co Ltd,China,601636.SH
11694,COSCO Shipping Co Ltd,China,F83.SGX
117277,People's Insurance Company Group Life Insurance Co Ltd (PICC Life Insurance),China,
11736,North China Pharmaceutical Co Ltd (NCPC),China,600812.SH
11745,Jinan Iron and Steel Group Co Ltd (also known as Jigang Group Co Ltd),China,600022.SH
11758,Sansteel Minguang Co Ltd Fujian,China,002110.SZ
11763,China Medical Technologies Inc,China,
11768,Inner Mongolia Yitai Coal Co Ltd,China,900948.SH
117800,Trust-Mart (please refer to Wal-Mart Stores Inc),China,
11787,TBEA Co Ltd (Tebian Electric Apparatus Stock Co Ltd),China,600089.SH
11789,Beijing Yanjing Brewery Co Ltd,China,000729.SZ
11799,Changjiang Securities Co Ltd,China,000783.SZ
118030,Guanghui Energy Co Ltd,China,600256.SH
11817,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,China,000999.SZ
11841,Bank of Ningbo Co Ltd,China,002142.SZ
11867,Guoyuan Securities Co Ltd,China,000728.SZ
118755,Sogou Inc,China,SOGO.NYSE
11882,Hubei Mailyard Share Co Ltd,China,600107.SH
118983,Sunshine Life Insurance Co Ltd,China,
11901,Zhejiang Xinan Chemical Industrial Group Co Ltd (Wynca Group),China,600596.SH
11920,Hsu Fu Chi International Ltd,China,
119410,Zhejiang Jiuzhou Pharmaceutical Co Ltd,China,603456.SH
11957,Xinjiang Chalkis Co Ltd,China,000972.SZ
11973,Chongqing Department Store Co Ltd,China,600729.SH
11982,Geo-Jade Petroleum Corp (formerly Hainan Zhenghe Industrial Group Co Ltd),China,600759.SH
12022,Northeast Pharmaceutical Group Co Ltd,China,000597.SZ
120866,Shanghai Environment Group Co Ltd,China,601200.SH
12112,China Non-ferrous Metal Industryâs Foreign Engineering and Construction Co Ltd,China,
121386,Shenzhen Kangtai Biological Products Co Ltd (also known as BioKangtai),China,300601.SZ
121768,Bank of Tianjin Co Ltd,China,1578.HKG
122073,Shenzhen Click Technology Co Ltd,China,002782.SZ
122118,Zhejiang Renzhi Co Ltd (formerly Sichuan Renzhi Oilfield Technology Services Co Ltd),China,002629.SZ
122185,Bank of Chengdu Co Ltd (Chengdu Bank),China,601838.SH
122202,Meihua Holdings Group Co Ltd (formerly Wuzhou Minovo Co Ltd),China,600873.SH
122585,ZTO Express Co Ltd (Zhongtong Express),China,2057.HKG
122907,Nanjing Sinolife United Co Ltd,China,3332.HKG
123479,Tianhe Chemicals Group Ltd,China,
123526,1Verge Group (Youku Tudou Inc),China,
12432,Digital China Holdings Ltd,China,0861.HKG
125240,Sichuan Star Cable Co Ltd,China,603333.SH
125543,Ping An Bank Co Ltd (formerly Shenzhen Development Bank Co Ltd),China,000001.SZ
12584,Suzhou New District Hi-Tech Industrial Co Ltd,China,600736.SH
12599,Homeinns Hotel Group (Home Inns Group),China,
126082,Tian Ge Interactive Holdings Ltd (Tiange Group),China,1980.HKG
126518,Chengdu Xingrong Environment Co Ltd (formerly Blue Star Cleaning Co Ltd),China,000598.SZ
12676,Huatian Hotel Group Co Ltd,China,000428.SZ
126944,Zhejiang CFMOTO Power Co Ltd,China,603129.SH
126977,Beijing Enlight Media Co Ltd (Enlight Media),China,300251.SZ
126988,Huadian Fuxin Energy Corp Ltd (previously known as Huadian Fujian Power Generation Co Ltd),China,
127142,Jumei International Holding Ltd (Jumei.com),China,
127202,CIFI Holdings (Group) Co Ltd,China,0884.HKG
127217,China Huishan Dairy Holdings Co Ltd,China,
127492,Lily Group Co Ltd (formerly Xuancheng Baihe Chemcial Engineering Co Ltd),China,603823.SH
127660,Neway Valve Co Ltd,China,603699.SH
127703,Labixiaoxin Snacks Group Limited,China,1262.HKG
127747,Rendong Holdings Co Ltd (formerly Meson Fintech Co Ltd; Zhejiang Honglei Copper Co Ltd),China,002647.SZ
127839,China CITIC Bank International Ltd (formerly CITIC Ka Wah Bank),China,
128259,Guangxi Nanning Waterworks Co Ltd,China,601368.SH
128467,Huishang Banking Corporation Ltd,China,
128468,Bank of Chongqing Co Ltd,China,CQN.FRA
12853,Xiamen King Long Motor Group Co Ltd,China,600686.SH
128814,Chinalco Mining Corporation International (CMC),China,
128886,Poly Culture Group Corp Ltd,China,3636.HKG
129119,Shanghai Prosolar Resources Development Co Ltd (formerly Prosolar Real Estate Co),China,600193.SH
129517,Bank of Jiangsu Co Ltd,China,600919.SH
130045,Shenzhen Quanxinhao Co Ltd (formerly Shenzhen Zero-Seven Co Ltd; formerly Shenzhen SEG Dasheng Co Ltd),China,000007.SZ
130098,Taikang Insurance Group Inc (formerly Taikang Life Insurance Co Ltd),China,
130505,Shanxi Road and Bridge Construction Group Co Ltd,China,
131038,Momo Inc (formerly Beijing Momo Technology),China,MOMO.NASDAQ
131118,Roshow Technology Co Ltd,China,002617.SZ
131126,Chongqing Gas Group Corp Ltd,China,600917.SH
131157,Orient Securities Co Ltd,China,3958.HKG
131202,Zhejiang Shapuaisi Pharmaceutical Co Ltd (Shapuaisi Pharma),China,603168.SH
132834,China Tianrui Group Cement Co Ltd,China,1252.HKG
133202,Tudou Holdings Ltd,China,
133212,Qingdao Port International Co Ltd,China,601298.SH
133784,Beijing Philisense Technology Co Ltd,China,300287.SZ
133798,Hunan Er-Kang Pharmaceutical Co Ltd,China,300267.SZ
133807,NetPosa Technologies Ltd,China,300367.SZ
133833,Boyaa Interactive International Ltd,China,0434.HKG
133846,CT Environmental Group Ltd,China,1363.HKG
133859,Foshan Haitian Flavouring and Food Co Ltd (Haitian),China,603288.SH
133867,Jangho Group Co Ltd,China,601886.SH
133911,Ningbo Cixing Co Ltd,China,300307.SZ
133916,Ourpalm Co Ltd,China,300315.SZ
133919,People.cn Co Ltd,China,603000.SH
134067,Agricultural Development Bank of China,China,
134147,Xinjiang Ba Yi Iron & Steel Co Ltd (Bayi Iron & Steel Co Ltd),China,600581.SH
134385,Beijing HualuBaina Film & TV Co Ltd (Hualu Baina),China,300291.SZ
134421,Hangzhou Tigermed Consulting Co Ltd,China,3347.HKG
134423,Lomon Billions Group Co Ltd (formerly known as Henan Billions Chemicals Co Ltd),China,002601.SZ
134427,Jiangsu Linyang Electronics Co Ltd,China,
134428,Jiangsu Sunrain Solar Energy Co Ltd (also known as Solareast Corp),China,603366.SH
134479,Wenfeng Great World Chain Development Corp,China,601010.SH
134480,Dalian Wanda Commercial Management Group Co Ltd (formerly Dalian Wanda Commercial Properties Co Ltd),China,
134941,Inner Mongolia Eerduosi Resources Co Ltd (formerly Inner Mongolia Eerduosi Cashmere Products Co Ltd),China,600295.SH
13534,Yantai North Andre Juice Co Ltd,China,605198.SH
135406,Peking University Resources Holdings Co Ltd (PKU Resources),China,0618.HKG
13569,Chongqing Taiji Industry Group Co Ltd,China,600129.SH
135800,Red Star Macalline Group Corp Ltd,China,1528.HKG
135998,Shanxi Yongdong Chemistry Industry Co Ltd,China,002753.SZ
136460,Fujian Nuoqi Co Ltd,China,1353.HKG
13693,Zhejiang Jingxing Paper Joint Stock Co Ltd,China,002067.SZ
137059,BAIC Motor Corp Ltd,China,1958.HKG
137413,Dianguang Explosion Proof Technology Co Ltd,China,002730.SZ
13763,Mayinglong Pharmaceutical Group Co Ltd,China,600993.SH
137766,Spring Airlines Co Ltd,China,601021.SH
138767,Zheijang Wansheng Co Ltd,China,
138966,Jiangsu Yida Chemical Co Ltd,China,300721.SZ
13936,Beijing Jingkelong Co Ltd,China,0814.HKG
139391,Shandong Shida Shenghua Chemical Group Co Ltd,China,603026.SH
1395,Industrial and Commercial Bank of China Ltd (ICBC),China,601398.SH
139667,Jiangsu Yabang Dyestuff Co Ltd,China,603188.SH
140162,Rianlon Corp (formerly Rianlon Tianjin Chemical Co Ltd),China,300596.SZ
1402,Shanghai Haixin Group Co,China,600851.SH
1404,Shanghai Electric Group Co Ltd,China,603131.SH
141052,Huaxi Securities Co Ltd,China,002926.SZ
14188,TCL Electronics Holdings Ltd (formerly TCL Multimedia Technology Holdings Ltd),China,1070.HKG
142653,China Orient Asset Management Corp,China,
144032,Tianjin Dongli Infrastructure Investment Group Co Ltd (also known as Tianjin Infrastructure Construction and Investment Group Co Ltd),China,
145564,State Grid Shanghai Municipal Electric Power Co Ltd,China,
146191,Anhui Provincial Investment Group Holdings Co Ltd,China,
147130,Changshu Ruite Electric Co Ltd,China,300600.SZ
147346,Yunnan Hongxiang Yixintang Pharmaceutical Co Ltd,China,002727.SZ
14770,Shanghai Zhangjiang High-Tech Park Development Co Ltd,China,
148269,Hosa International Ltd,China,
14854,COSCO Shipping Holdings Co Ltd (formerly China COSCO Holdings Co Ltd),China,1919.HKG
14856,CITIC Securities Co Ltd,China,600030.SH
14861,China Railway Construction Corp Ltd (CRCC),China,601186.SH
14865,China Railway Group Ltd,China,0390.HKG
148699,GuangDong XiangLu Tungsten Co Ltd,China,002842.SZ
14885,China Offshore Oil Engineering Co Ltd (COOEC),China,600583.SH
148857,Zheshang Securities Co Ltd,China,601878.SH
14893,Pingdingshan Tianan Coal Mining Co Ltd,China,601666.SH
14901,Poly Developments and Holdings Group Co Ltd (formerly Poly Real Estate Group Co Ltd),China,600048.SH
149024,Luyan Pharma Co Ltd (formerly Luyan Fujian Pharma Co Ltd),China,002788.SZ
14937,Sinochem International Corp Ltd,China,600500.SH
149627,Epoxy Base Electronic Material Corp Ltd,China,603002.SH
14969,Sanjing Pharmaceuticals Co Ltd (Please see Harbin Pharmaceutical Group Co),China,
1498,Shandong Chenming Paper Holdings Ltd,China,000488.SZ
14982,TCL Communication Technology Holdings Ltd (TCL Communication),China,000100.SZ
150258,Shenzhen Anche Technologies Co Ltd,China,300572.SZ
150398,Yankuang Group Co Ltd,China,
15187,Qingdao Haier Co Ltd,China,688139.SH
152315,Sinopec Oilfield Service Corp (SOSC; formerly Sinopec Yizheng Chemical Fibre Company Limited),China,1033.HKG
152601,Guangdong Yantang Dairy Co Ltd,China,002732.SZ
15288,Harbin Dongan Auto Engine Co,China,600178.SH
152983,Zhejiang Zheneng Electric Power Co Ltd,China,600023.SH
152986,360 Security Technology Inc (formerly SJEC Corp),China,601360.SH
153034,Newcapec Electronics Co Ltd,China,300248.SZ
153072,Muyuan Foodstuff Co Ltd (Muyuan Foods),China,002714.SZ
15339,Wuhan Boiler Co Ltd (WBC),China,
153564,Baiyin Nonferrous Group Co Ltd (also known as Baiyin Nonferrous Metal Group; BNMC),China,601212.SH
154002,Dohia Group Co Ltd (formerly known as Dohia Home Textile Co Ltd),China,002761.SZ
156928,China Shengmu Organic Milk Ltd,China,1432.HKG
157747,Yunnan Industrial Investment Holding Group Co Ltd,China,
158014,Fang Holdings Ltd (formerly SouFun Holdings Ltd),China,SFUN.NYSE
15810,China CAMC Engineering Co Ltd (CAMCE),China,002051.SZ
15823,State Grid Corporation of China (SGCC),China,
158363,Chengdu Road & Bridge Engineering Co Ltd,China,002628.SZ
158492,Gansu Huangtai Wine-Marketing Industry Co Ltd,China,000995.SZ
159551,Beijing Tong Ren Tang Co Ltd,China,600085.SH
160502,Harbin Bank Co Ltd,China,6138.HKG
160506,China Auto Rental Inc (CAR Inc; China Auto Rental Holdings Inc),China,0699.HKG
160628,CGN Power Co Ltd,China,1816.HKG
160764,China Southern Power Grid International Co Ltd,China,
16102,China Printing & Dyeing Holding Limited,China,
